id,date,Count,error
92931708101376,2020-02-18,0,
92331708101901,2020-02-15,0,
92331708101911,2020-02-20,0,
92331708101918,2020-02-18,0,
92331708101893,2020-02-18,0,
417890,2020-02-17,0,
417080465055836,2020-02-19,0,
31921801166019,2020-02-20,0,
417200,2020-02-23,0,
92331708101912,2020-02-21,0,
417860,2020-02-23,0,
411401,2020-02-21,0,
437210,2020-02-15,1,
92931708101462,2020-02-17,0,
436870,2020-02-16,0,
416830,2020-02-15,0,
436870,2020-02-15,0,
417780,2020-02-17,0,
416830,2020-02-20,0,
92931708101431,2020-02-17,0,
92931708101376,2020-02-19,0,
416816,2020-02-17,0,
417220,2020-02-20,0,
417080465055836,2020-02-15,0,
31921801166019,2020-02-16,0,
417020,2020-02-17,0,
92431708100127,2020-02-19,0,
92931708101457,2020-02-19,0,
417500,2020-02-20,0,
92931708101471,2020-02-22,0,
92931708101439,2020-02-20,0,
417890,2020-02-22,0,
417440,2020-02-18,0,
417780,2020-02-20,0,
92931708101462,2020-02-21,0,
417490,2020-02-20,0,
92931708101457,2020-02-20,0,
92931708101433,2020-02-22,0,
92931708101433,2020-02-15,0,
31921801166019,2020-02-18,0,
92931708101440,2020-02-18,0,
92931708101471,2020-02-19,0,
417220,2020-02-23,0,
417030,2020-02-22,0,
929317081013935,2020-02-23,0,
92331708101905,2020-02-21,0,
417500,2020-02-22,0,
55355535553535,2020-02-16,0,
417790,2020-02-16,0,
417801,2020-02-22,0,
92331708101901,2020-02-21,0,
92331708101905,2020-02-19,0,
92331708101948,2020-02-15,0,
92931708101440,2020-02-22,0,
433810,2020-02-23,0,
92331708101911,2020-02-17,0,
92931708101435,2020-02-21,0,
92331708101948,2020-02-23,0,
417220,2020-02-18,0,
92331708101912,2020-02-23,0,
123456789,2020-02-19,0,
437210,2020-02-18,0,
929317081013935,2020-02-19,0,
417500,2020-02-16,0,
92931708101439,2020-02-15,0,
416826324038458,2020-02-15,0,
92331708101918,2020-02-19,0,
92931708101433,2020-02-16,0,
417860,2020-02-19,0,
417551,2020-02-21,0,
432881,2020-02-22,1,
55355535553535,2020-02-23,0,
417600,2020-02-23,0,
417801,2020-02-16,0,
92931708101439,2020-02-16,0,
416808283912445,2020-02-16,0,
416826324038458,2020-02-19,0,
55355535553535,2020-02-17,0,
417460,2020-02-23,0,
417490,2020-02-16,0,
416816,2020-02-16,0,
92931708101440,2020-02-16,0,
432881,2020-02-18,3,
417220,2020-02-21,0,
416808283912445,2020-02-23,0,
92331708101918,2020-02-20,0,
417440,2020-02-23,0,
416826324038458,2020-02-16,0,
92331708101948,2020-02-19,0,
411401,2020-02-22,0,
92931708101439,2020-02-22,0,
92931708101416,2020-02-21,0,
417890,2020-02-21,0,
31921801166019,2020-02-22,0,
417770,2020-02-18,0,
92931708101471,2020-02-21,0,
416826324038458,2020-02-22,0,
417500,2020-02-15,0,
92331708101918,2020-02-15,0,
417551,2020-02-15,0,
437500,2020-02-21,26,
92931708101458,2020-02-21,0,
417500,2020-02-18,0,
416814,2020-02-20,0,
432881,2020-02-17,2,
416808283912445,2020-02-20,0,
92931708101457,2020-02-18,0,
417490,2020-02-19,0,
92931708101400,2020-02-23,0,
417801,2020-02-19,0,
31921801166017,2020-02-19,0,
92331708101912,2020-02-20,0,
92331708101911,2020-02-15,0,
417551,2020-02-20,0,
92931708101431,2020-02-15,0,
417490,2020-02-22,0,
417490,2020-02-17,0,
123456789,2020-02-16,0,
92331708101901,2020-02-20,0,
411401,2020-02-15,0,
92931708101458,2020-02-18,0,
92431708100127,2020-02-22,0,
417770,2020-02-19,0,
92931708101435,2020-02-23,0,
417590,2020-02-23,0,
435771,2020-02-18,0,
417200,2020-02-19,0,
92331708101901,2020-02-23,0,
92931708101440,2020-02-21,0,
92331708101893,2020-02-21,0,
92931708101400,2020-02-21,0,
417801,2020-02-23,0,
92931708101471,2020-02-17,0,
417080465055836,2020-02-16,0,
92931708101458,2020-02-16,0,
92931708101462,2020-02-19,0,
416808283912445,2020-02-21,0,
417020,2020-02-23,0,
417080465055836,2020-02-20,0,
417030,2020-02-21,0,
417860,2020-02-15,1,
417860,2020-02-18,0,
417770,2020-02-23,0,
417080465055836,2020-02-21,0,
417490,2020-02-21,0,
92931708101400,2020-02-17,0,
417801,2020-02-15,0,
417150,2020-02-20,10,
417150,2020-02-22,7,
92331708101893,2020-02-23,0,
929317081013935,2020-02-16,0,
417780,2020-02-21,0,
92331708101918,2020-02-21,0,
92931708101458,2020-02-20,0,
92331708101918,2020-02-17,0,
123456789,2020-02-21,0,
416830,2020-02-19,0,
417801,2020-02-18,0,
31921801166019,2020-02-21,0,
92931708101435,2020-02-15,0,
31921801166019,2020-02-19,0,
417801,2020-02-20,0,
92431708100127,2020-02-17,0,
92931708101462,2020-02-23,0,
92931708101457,2020-02-21,0,
92331708101917,2020-02-23,0,
416826324038458,2020-02-21,0,
92931708101376,2020-02-15,0,
92931708101462,2020-02-20,0,
417551,2020-02-16,0,
92931708101416,2020-02-16,0,
92931708101458,2020-02-15,0,
92331708101917,2020-02-18,0,
417080465055836,2020-02-23,0,
92331708101948,2020-02-22,0,
417500,2020-02-17,0,
55355535553535,2020-02-22,0,
92931708101431,2020-02-19,0,
92931708101376,2020-02-23,0,
92331708101917,2020-02-16,0,
92931708101440,2020-02-15,0,
417890,2020-02-16,0,
123456789,2020-02-18,0,
92931708101435,2020-02-22,0,
92931708101435,2020-02-16,0,
435771,2020-02-22,1,
417490,2020-02-15,0,
92331708101893,2020-02-15,0,
432881,2020-02-23,0,
417020,2020-02-15,0,
929317081013935,2020-02-18,0,
417440,2020-02-16,0,
92331708101905,2020-02-16,0,
31921801166017,2020-02-16,0,
417780,2020-02-22,0,
92331708101918,2020-02-22,0,
929317081013935,2020-02-17,0,
417860,2020-02-20,0,
417490,2020-02-23,0,
92931708101400,2020-02-20,0,
92931708101435,2020-02-17,0,
92931708101431,2020-02-18,0,
92931708101431,2020-02-23,0,
436870,2020-02-17,0,
416814,2020-02-23,0,
92931708101457,2020-02-16,0,
432881,2020-02-15,11,
417460,2020-02-19,0,
417890,2020-02-19,0,
411401,2020-02-19,0,
92931708101376,2020-02-21,0,
92931708101471,2020-02-20,0,
929317081013935,2020-02-21,0,
417780,2020-02-23,0,
416830,2020-02-18,0,
92431708100127,2020-02-15,0,
437210,2020-02-22,2,
92931708101400,2020-02-18,0,
92931708101440,2020-02-23,0,
92931708101431,2020-02-16,0,
416830,2020-02-16,0,
92931708101435,2020-02-18,0,
417531,2020-02-23,0,
92331708101901,2020-02-18,0,
416830,2020-02-22,0,
92931708101439,2020-02-17,0,
92931708101376,2020-02-20,0,
417460,2020-02-16,0,
92931708101376,2020-02-22,0,
92931708101439,2020-02-23,0,
92331708101948,2020-02-17,0,
92931708101433,2020-02-17,0,
92931708101440,2020-02-19,0,
417440,2020-02-21,0,
432881,2020-02-20,28,
31921801166017,2020-02-22,0,
92931708101457,2020-02-17,0,
31921801166017,2020-02-20,0,
417200,2020-02-17,0,
92931708101433,2020-02-23,0,
92931708101376,2020-02-17,0,
92331708101948,2020-02-16,0,
417020,2020-02-16,0,
417200,2020-02-20,0,
417780,2020-02-19,0,
417460,2020-02-18,0,
92331708101905,2020-02-20,0,
92331708101912,2020-02-22,0,
416830,2020-02-23,0,
417551,2020-02-19,0,
92331708101948,2020-02-21,0,
437210,2020-02-23,0,
55355535553535,2020-02-19,0,
31921801166019,2020-02-23,0,
417770,2020-02-16,0,
417890,2020-02-18,0,
92331708101948,2020-02-18,0,
92931708101471,2020-02-16,0,
417591,2020-02-18,194,
417500,2020-02-19,0,
92931708101416,2020-02-19,0,
92331708101918,2020-02-16,0,
416940,2020-02-23,0,
417200,2020-02-16,6,
92331708101893,2020-02-20,0,
416826324038458,2020-02-20,0,
417591,2020-02-23,24,
92931708101400,2020-02-15,0,
437500,2020-02-23,8,
436930,2020-02-23,366,
31921801166019,2020-02-17,0,
92331708101912,2020-02-17,0,
417570,2020-02-18,0,
92331708101917,2020-02-15,0,
92331708101911,2020-02-16,0,
55355535553535,2020-02-15,0,
416826324038458,2020-02-18,0,
92931708101433,2020-02-18,0,
417551,2020-02-23,0,
433810,2020-02-22,12,
417200,2020-02-18,0,
92331708101905,2020-02-15,0,
436870,2020-02-19,0,
417220,2020-02-17,0,
416808283912445,2020-02-15,0,
92331708101901,2020-02-19,0,
417801,2020-02-21,0,
92931708101458,2020-02-22,0,
92931708101462,2020-02-16,0,
417150,2020-02-17,12,
92431708100127,2020-02-21,0,
417790,2020-02-17,44,
92331708101893,2020-02-16,0,
123456789,2020-02-22,0,
416826324038458,2020-02-23,0,
417570,2020-02-17,10,
92931708101416,2020-02-18,0,
92331708101905,2020-02-18,0,
416808283912445,2020-02-17,0,
417551,2020-02-22,0,
92931708101400,2020-02-19,0,
929317081013935,2020-02-22,0,
435771,2020-02-16,8,
435771,2020-02-15,22,
437210,2020-02-19,0,
92431708100127,2020-02-23,0,
437210,2020-02-21,1,
417200,2020-02-15,0,
435771,2020-02-21,22,
92331708101893,2020-02-19,0,
55355535553535,2020-02-21,0,
417080465055836,2020-02-18,0,
433810,2020-02-17,10,
416814,2020-02-22,0,
92331708101905,2020-02-22,0,
417551,2020-02-18,0,
432881,2020-02-16,6,
417470,2020-02-23,0,
92331708101911,2020-02-19,0,
417150,2020-02-23,29,
92931708101431,2020-02-21,0,
123456789,2020-02-15,0,
92931708101416,2020-02-17,0,
92931708101458,2020-02-23,0,
92331708101911,2020-02-22,0,
92931708101457,2020-02-22,0,
92331708101917,2020-02-20,0,
92331708101911,2020-02-21,0,
416830,2020-02-17,0,
417790,2020-02-15,0,
92931708101433,2020-02-19,0,
417440,2020-02-19,0,
436840,2020-02-22,37,
92331708101893,2020-02-17,0,
92931708101471,2020-02-15,0,
92331708101901,2020-02-16,0,
417540,2020-02-23,0,
92331708101911,2020-02-18,0,
31921801166017,2020-02-15,0,
416814,2020-02-21,3,
435771,2020-02-20,18,
417020,2020-02-20,0,
417030,2020-02-23,0,
417150,2020-02-18,24,
416826324038458,2020-02-17,0,
417890,2020-02-15,0,
417770,2020-02-15,0,
92331708101948,2020-02-20,0,
417890,2020-02-20,162,
436870,2020-02-21,0,
417080465055836,2020-02-17,0,
411401,2020-02-17,0,
92931708101457,2020-02-15,0,
437500,2020-02-22,30,
43450001,2020-02-15,0,
92331708101893,2020-02-22,0,
417220,2020-02-22,0,
43450001,2020-02-22,38,
55355535553535,2020-02-18,0,
417860,2020-02-22,0,
31921801166017,2020-02-21,0,
417460,2020-02-15,0,
417770,2020-02-22,0,
436870,2020-02-20,0,
92331708101905,2020-02-17,0,
436930,2020-02-17,333,
417460,2020-02-21,0,
417020,2020-02-22,0,
92431708100127,2020-02-16,0,
417770,2020-02-20,0,
92931708101435,2020-02-20,0,
92931708101440,2020-02-20,0,
92931708101433,2020-02-20,0,
92331708101901,2020-02-17,0,
417440,2020-02-22,0,
436930,2020-02-18,325,
417790,2020-02-18,379,
417591,2020-02-16,57,
417460,2020-02-17,0,
433810,2020-02-18,25,
31921801166017,2020-02-18,0,
92331708101905,2020-02-23,0,
416850,2020-02-21,305,
92931708101439,2020-02-19,0,
92331708101917,2020-02-19,0,
416808283912445,2020-02-22,0,
92931708101457,2020-02-23,0,
436840,2020-02-18,99,
417591,2020-02-21,99,
417890,2020-02-23,0,
92331708101912,2020-02-15,0,
417200,2020-02-21,58,
417460,2020-02-20,0,
436930,2020-02-16,455,
92931708101400,2020-02-22,0,
417860,2020-02-17,0,
92931708101439,2020-02-21,0,
92931708101416,2020-02-20,0,
436840,2020-02-19,17,
436960,2020-02-16,193,
436930,2020-02-15,787,
436930,2020-02-20,662,
417020,2020-02-18,0,
411401,2020-02-20,0,
92931708101471,2020-02-23,,"{""message"":""socket hang up"",""name"":""Error"",""stack"":""Error: socket hang up\n    at createHangUpError (_http_client.js:322:15)\n    at TLSSocket.socketOnEnd (_http_client.js:425:23)\n    at TLSSocket.emit (events.js:187:15)\n    at endReadableNT (_stream_readable.js:1092:12)\n    at process._tickCallback (internal/process/next_tick.js:63:19)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""92931708101471\"",\"":up\"":\""2020-02-23\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":205},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""ECONNRESET""}"
417460,2020-02-22,0,
417220,2020-02-16,,"{""message"":""socket hang up"",""name"":""Error"",""stack"":""Error: socket hang up\n    at createHangUpError (_http_client.js:322:15)\n    at TLSSocket.socketOnEnd (_http_client.js:425:23)\n    at TLSSocket.emit (events.js:187:15)\n    at endReadableNT (_stream_readable.js:1092:12)\n    at process._tickCallback (internal/process/next_tick.js:63:19)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""417220\"",\"":up\"":\""2020-02-16\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":197},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""ECONNRESET""}"
411801,2020-02-15,,"{""message"":""socket hang up"",""name"":""Error"",""stack"":""Error: socket hang up\n    at createHangUpError (_http_client.js:322:15)\n    at TLSSocket.socketOnEnd (_http_client.js:425:23)\n    at TLSSocket.emit (events.js:187:15)\n    at endReadableNT (_stream_readable.js:1092:12)\n    at process._tickCallback (internal/process/next_tick.js:63:19)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""411801\"",\"":up\"":\""2020-02-15\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":197},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""ECONNRESET""}"
929317081013935,2020-02-15,0,
416808283912445,2020-02-18,,"{""message"":""read ECONNRESET"",""name"":""Error"",""stack"":""Error: read ECONNRESET\n    at TLSWrap.onStreamRead (internal/stream_base_commons.js:111:27)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""416808283912445\"",\"":up\"":\""2020-02-18\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":206},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""ECONNRESET""}"
416816,2020-02-20,434,
416931,2020-02-17,,"{""message"":""socket hang up"",""name"":""Error"",""stack"":""Error: socket hang up\n    at createHangUpError (_http_client.js:322:15)\n    at TLSSocket.socketOnEnd (_http_client.js:425:23)\n    at TLSSocket.emit (events.js:187:15)\n    at endReadableNT (_stream_readable.js:1092:12)\n    at process._tickCallback (internal/process/next_tick.js:63:19)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""416931\"",\"":up\"":\""2020-02-17\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":197},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""ECONNRESET""}"
92331708101912,2020-02-16,0,
417540,2020-02-18,,"{""message"":""write EPROTO"",""name"":""Error"",""stack"":""Error: write EPROTO\n    at WriteWrap.afterWrite [as oncomplete] (net.js:788:14)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""417540\"",\"":up\"":\""2020-02-18\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":197},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""EPROTO""}"
436840,2020-02-17,102,
417220,2020-02-19,0,
417790,2020-02-22,,"{""message"":""write EPROTO"",""name"":""Error"",""stack"":""Error: write EPROTO\n    at WriteWrap.afterWrite [as oncomplete] (net.js:788:14)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""417790\"",\"":up\"":\""2020-02-22\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":197},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""EPROTO""}"
436840,2020-02-15,1,
92331708101912,2020-02-18,,"{""message"":""read ECONNRESET"",""name"":""Error"",""stack"":""Error: read ECONNRESET\n    at TLSWrap.onStreamRead (internal/stream_base_commons.js:111:27)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""92331708101912\"",\"":up\"":\""2020-02-18\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":205},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""ECONNRESET""}"
414511,2020-02-20,,"{""message"":""write EPROTO"",""name"":""Error"",""stack"":""Error: write EPROTO\n    at WriteWrap.afterWrite [as oncomplete] (net.js:788:14)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""414511\"",\"":up\"":\""2020-02-20\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":197},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""EPROTO""}"
31921801166017,2020-02-17,,"{""message"":""write EPROTO"",""name"":""Error"",""stack"":""Error: write EPROTO\n    at WriteWrap.afterWrite [as oncomplete] (net.js:788:14)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""31921801166017\"",\"":up\"":\""2020-02-17\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":205},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""EPROTO""}"
92931708101440,2020-02-17,0,
31921801166017,2020-02-23,,"{""message"":""write EPROTO"",""name"":""Error"",""stack"":""Error: write EPROTO\n    at WriteWrap.afterWrite [as oncomplete] (net.js:788:14)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""31921801166017\"",\"":up\"":\""2020-02-23\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":205},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""EPROTO""}"
416830,2020-02-21,,"{""message"":""write EPROTO"",""name"":""Error"",""stack"":""Error: write EPROTO\n    at WriteWrap.afterWrite [as oncomplete] (net.js:788:14)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""416830\"",\"":up\"":\""2020-02-21\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":197},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""EPROTO""}"
417440,2020-02-17,,"{""message"":""write EPROTO"",""name"":""Error"",""stack"":""Error: write EPROTO\n    at WriteWrap.afterWrite [as oncomplete] (net.js:788:14)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""417440\"",\"":up\"":\""2020-02-17\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":197},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""EPROTO""}"
92431708100127,2020-02-18,,"{""message"":""read ECONNRESET"",""name"":""Error"",""stack"":""Error: read ECONNRESET\n    at TLSWrap.onStreamRead (internal/stream_base_commons.js:111:27)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""92431708100127\"",\"":up\"":\""2020-02-18\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":205},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""ECONNRESET""}"
